Variabel;Display_navn;Type;Kategori;Beskrivelse;Kilde;Kilde_url;Tabell;Enhet;Frekvens;Startaar;Sluttaar;Funksjon;Kommentar;Omraade;Analyse_type
Detaljhandel;Detaljhandel;Original;Produksjon og aktivitet;Volumindeks for detaljhandel, unntatt salg av motorvogner (2021=100);Eurostat;https://ec.europa.eu/eurostat/databrowser/view/sts_trtu_a/default/table?lang=en;sts_trtu_a;Indeks (2015=100);Årlig;1991;2023;get_retail_trade;Salgsvolum i detaljhandel. indic_bt = VOL_SLS, nace_r2 = G47, s_adj = CA, unit = I15.;Internasjonal;indeks
Eksport;Eksport;Original;Utenriksøkonomi;Eksport i alt, faste 2023-priser;Eurostat;https://ec.europa.eu/eurostat/databrowser/view/nama_10_gdp/default/table?lang=en;nama_10_gdp;Millioner euro, kjedevolum med referanseer 2020;Årlig;1975;2025;get_exports;Eksport av varer og tjenester. unit = CLV20_MEUR, na_item = P6.;Internasjonal;nivå
Import;Import;Original;Utenriksøkonomi;Import i alt, faste 2023-priser;Eurostat;https://ec.europa.eu/eurostat/databrowser/view/nama_10_gdp/default/table?lang=en;nama_10_gdp;Millioner euro, kjedevolum med referanseer 2020;Årlig;1975;2025;get_imports;Import av varer og tjenester. unit = CLV20_MEUR, na_item = P7.;Internasjonal;nivå
Privat_konsum;Privat_konsum;Original;Husholdningsøkonomi;Konsum i husholdninger, faste 2023-priser;Eurostat;https://ec.europa.eu/eurostat/databrowser/view/nama_10_gdp/default/table?lang=en;nama_10_gdp;Millioner euro, kjedevolum med referanseer 2020;Årlig;1975;2025;get_private_consumption;Konsum i husholdninger og ideelle organisasjoner. unit = CLV20_MEUR, na_item = P31_S14_S15.;Internasjonal;nivå
Offentlig_konsum;Offentlig_konsum;Original;Offentlige finanser;Konsum i offentlig forvaltning, faste 2023-priser;Eurostat;https://ec.europa.eu/eurostat/databrowser/view/nama_10_gdp/default/table?lang=en;nama_10_gdp;Millioner euro, kjedevolum med referanseer 2020;Årlig;1975;2025;get_public_consumption;Konsum i offentlig forvaltning. unit = CLV20_MEUR, na_item = P3_S13.;Internasjonal;nivå
Investeringer;Investeringer;Original;Nasjonalregnskap;Bruttoinvesteringer i fast realkapital i kjedevolum.;Eurostat;https://ec.europa.eu/eurostat/databrowser/view/nama_10_gdp/default/table?lang=en;nama_10_gdp;Millioner euro, kjedevolum med referanseer 2020;Årlig;1975;2025;get_investment;Bruttoinvesteringer i fast realkapital. unit = CLV20_MEUR, na_item = P51G.;Internasjonal;nivå
Statsrente_10aar;Statsrente_10aar;Original;Finansmarkeder;10-årig norsk statsobligasjonsrente;Eurostat;https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_a/default/table?lang=en;irt_lt_mcby_a;Prosent;Årlig;1967;2025;get_long_interest_rate;Erlig Maastricht-kriterierente for langsiktige statsobligasjoner.;Internasjonal;rate
Inflasjon;Inflasjon;Beregnet;Priser og inflasjon;Årsvekst i KPI;Beregnet;NA;HICP;Prosent;Årlig;1997;2025;create_international_derived_variables;Beregnet med growth_rate(HICP, Aar).;Internasjonal;rate
Befolkningsvekst;Befolkningsvekst;Beregnet;Demografi;Årlig vekst i befolkningen;Beregnet;NA;Befolkning;Prosent;Årlig;1961;2025;create_international_derived_variables;Beregnet med growth_rate(Befolkning, Aar).;Internasjonal;rate
BNP_lopende_per_innbygger;BNP_lopende_per_innbygger;Beregnet;Nasjonalregnskap;BNP i løpende priser per innbygger;Beregnet;NA;BNP_lopende og Befolkning;Euro per innbygger;Årlig;1975;2025;create_international_derived_variables;Beregnet som BNP_lopende * 1e6 / Befolkning.;Internasjonal;nivå
BNP_vekst;BNP vekst;Beregnet;Nasjonalregnskap;Erlig prosentvis vekst i BNP i faste priser.;Beregnet;NA;BNP_faste_priser;Prosent;Årlig;1976;2025;create_international_derived_variables;Beregnet med growth_rate(BNP_faste_priser, Aar).;Internasjonal;rate
Industriproduksjon_vekst;Industriproduksjon_vekst;Beregnet;Produksjon og aktivitet;Årlig prosentvis vekst i industriproduksjonen;Beregnet;NA;Industriproduksjon;Prosent;Årlig;1991;2023;create_international_derived_variables;Beregnet med growth_rate(Industriproduksjon, Aar).;Internasjonal;rate
Sysselsettingsandel;Sysselsettingsandel;Beregnet;Arbeidsmarked;Sysselsatte som andel av befolkningen.;Beregnet;NA;Sysselsatte og Befolkning;Prosent;Årlig;1975;2025;create_international_derived_variables;Beregnet som Sysselsatte / Befolkning * 100.;Internasjonal;rate
Arbeidsproduktivitet;Arbeidsproduktivitet;Beregnet;Nasjonalregnskap;BNP Fastlands-Norge per sysselsatt;Beregnet;NA;BNP_faste_priser og Sysselsatte;Euro per sysselsatt;Årlig;1975;2025;create_international_derived_variables;Beregnet som BNP_faste_priser * 1e6 / Sysselsatte.;Internasjonal;nivå
Produktivitetsvekst;Produktivitetsvekst;Beregnet;Nasjonalregnskap;Årlig vekst i arbeidsproduktivitet;Beregnet;NA;Arbeidsproduktivitet;Prosent;Årlig;1976;2025;create_international_derived_variables;Beregnet med growth_rate(Arbeidsproduktivitet, Aar).;Internasjonal;rate
Arbeidsstyrkeandel;Arbeidsstyrkeandel;Beregnet;Arbeidsmarked;Arbeidsstyrken som andel av befolkningen;Beregnet;NA;Arbeidsstyrke og Befolkning;Prosent;Årlig;2003;2025;create_international_derived_variables;Beregnet som Arbeidsstyrke / Befolkning * 100.;Internasjonal;rate
Boligprisvekst;Boligprisvekst;Beregnet;Boligmarked;Årlig prosentvis vekst i boligprisindeksen;Beregnet;NA;Boligprisindeks;Prosent;Årlig;2006;2025;create_international_derived_variables;Beregnet med growth_rate(Boligprisindeks, Aar).;Internasjonal;rate
Detaljhandel_vekst;Detaljhandel_vekst;Beregnet;Produksjon og aktivitet;Årlig prosentvis vekst i detaljhandelens volum;Beregnet;NA;Detaljhandel;Prosent;Årlig;1992;2023;create_international_derived_variables;Beregnet med growth_rate(Detaljhandel, Aar).;Internasjonal;rate
Handelsbalanse;Handelsbalanse;Beregnet;Utenriksøkonomi;Eksport minus import, faste 2023-priser;Beregnet;NA;Eksport og Import;Millioner euro, kjedevolum med referanseer 2020;Årlig;1975;2025;create_international_derived_variables;Beregnet som Eksport - Import.;Internasjonal;rate
Eksportandel_BNP;Eksportandel_BNP;Beregnet;Utenriksøkonomi;Eksport som andel av BNP Fastlands-Norge;Beregnet;NA;Eksport og BNP_faste_priser;Prosent;Årlig;1975;2025;create_international_derived_variables;Beregnet som Eksport / BNP_faste_priser * 100.;Internasjonal;rate
Importandel_BNP;Importandel_BNP;Beregnet;Utenriksøkonomi;Import som andel av BNP Fastlands-Norge;Beregnet;NA;Import og BNP_faste_priser;Prosent;Årlig;1975;2025;create_international_derived_variables;Beregnet som Import / BNP_faste_priser * 100.;Internasjonal;rate
Handelsbalanse_andel_BNP;Handelsbalanse_andel_BNP;Beregnet;Utenriksøkonomi;Handelsbalanse som andel av BNP Fastlands-Norge;Beregnet;NA;Handelsbalanse og BNP_faste_priser;Prosent;Årlig;1975;2025;create_international_derived_variables;Beregnet som Handelsbalanse / BNP_faste_priser * 100.;Internasjonal;rate
Privat_konsum_vekst;Privat_konsum_vekst;Beregnet;Husholdningsøkonomi;Årlig prosentvis vekst i privat konsum;Beregnet;NA;Privat_konsum;Prosent;Årlig;1976;2025;create_international_derived_variables;Beregnet med growth_rate(Privat_konsum, Aar).;Internasjonal;rate
Offentlig_konsum_vekst;Offentlig_konsum_vekst;Beregnet;Offentlige finanser;Årlig prosentvis vekst i offentlig konsum;Beregnet;NA;Offentlig_konsum;Prosent;Årlig;1976;2025;create_international_derived_variables;Beregnet med growth_rate(Offentlig_konsum, Aar).;Internasjonal;rate
Privat_konsum_andel_BNP;Privat_konsum_andel_BNP;Beregnet;Husholdningsøkonomi;Privat konsum som andel av BNP Fastlands-Norge;Beregnet;NA;Privat_konsum og BNP_faste_priser;Prosent;Årlig;1975;2025;create_international_derived_variables;Beregnet som Privat_konsum / BNP_faste_priser * 100.;Internasjonal;rate
Offentlig_konsum_andel_BNP;Offentlig_konsum_andel_BNP;Beregnet;Offentlige finanser;Offentlig konsum som andel av BNP Fastlands-Norge;Beregnet;NA;Offentlig_konsum og BNP_faste_priser;Prosent;Årlig;1975;2025;create_international_derived_variables;Beregnet som Offentlig_konsum / BNP_faste_priser * 100.;Internasjonal;rate
Investeringsvekst;Investeringsvekst;Beregnet;Nasjonalregnskap;Erlig prosentvis vekst i bruttoinvesteringer i fast realkapital.;Beregnet;NA;Investeringer;Prosent;Årlig;1976;2025;create_international_derived_variables;Beregnet med growth_rate(Investeringer, Aar).;Internasjonal;rate
Investeringer_andel_BNP;Investeringer som andel av BNP;Beregnet;Nasjonalregnskap;Bruttoinvesteringer i fast realkapital som andel av BNP i faste priser.;Beregnet;NA;Investeringer og BNP_faste_priser;Prosent;Årlig;1975;2025;create_international_derived_variables;Beregnet som Investeringer / BNP_faste_priser * 100.;Internasjonal;rate
